sample,n,persist_n,persist_rate,persist_resid,persist_t,persist_pf,persist_win,second_n,second_resid,second_pf,unresolved_n,unresolved_resid,gap,median_persist_h,persist_mae,persist_mfe,plus05_first,second_first
2021,154,74,0.4805194805194805,-0.4272536508227159,-1.0259845219843178,0.6958590619688932,0.43243243243243246,57,0.5932498301549213,1.7420604845325114,23,1.761849189838516,-1.0205034809776372,0.5,1.9789951673048467,2.0559107326593944,134,18
2022,109,56,0.5137614678899083,0.33803805985101737,0.7882351906305577,1.320748222455299,0.5714285714285714,35,0.6350074237517006,2.2403812787683934,18,2.5214717460211817,-0.29696936390068324,0.5,1.560886652008017,3.1089608425157875,93,13
2023,125,58,0.464,0.04614622825393487,0.052109153989550065,1.0227512612917462,0.4827586206896552,39,0.17997966999335438,1.1010539544641265,28,3.117290116580165,-0.13383344173941952,0.5,2.1377213223115596,2.846851904194966,101,17
2024,122,56,0.45901639344262296,1.3046243363198908,2.6893160027801963,2.9407746889725743,0.6071428571428571,50,-0.5431670112074509,0.6963318557512884,16,1.7276386890250572,1.8477913475273418,0.5,1.1796391070013486,2.9737937516366544,106,16
2025_H1,59,33,0.559322033898305,-0.5272396313671249,-0.8509467490055723,0.6765428009009373,0.45454545454545453,17,0.24550631186719538,1.3496193691374125,9,3.9941008322982006,-0.7727459432343203,0.5,1.914245407136191,2.588869937725559,54,5
2025_H2,66,33,0.5,-0.7690092908737036,-0.9082775751611067,0.6282850773175579,0.48484848484848486,21,-0.01616569090071343,0.9832372900515884,12,1.667671113031284,-0.7528435999729902,0.5,3.4568247216314374,2.1435255848867554,56,8
2026_JAN_JUL,66,33,0.5,1.2126278833595896,1.5088722253291977,2.1653075135198354,0.5454545454545454,24,0.10734815599008678,1.0688745818425873,9,2.8602299080845217,1.1052797273695028,0.5,1.9694478849979051,3.380648994817265,56,8
AUG2026_REUSED_AUDIT,2,1,0.5,-12.702098746791599,,0.0,0.0,1,-0.9552722717559362,0.0,0,,-11.746826475035663,0.5,17.255322361467634,1.1076551411747324,2,0
HIST,569,277,0.4868189806678383,0.16480107374838618,0.6233843574283489,1.1226987207993269,0.5090252707581228,198,0.2023988081881346,1.171027121410712,94,2.5189603465318773,-0.037597734439748426,0.5,1.8531515124594715,2.559183835668902,488,69
RECENT,132,66,0.5,0.22180929624294304,0.3746355929470196,1.1426691353784972,0.5151515151515151,45,0.04970836077437997,1.0387952237065536,21,2.178767739482671,0.1721009354685631,0.5,2.874752300064821,2.430996830565646,112,16
ALL_PRE_AUG,701,343,0.4893009985734665,0.17577058594850503,0.7275308081179708,1.1270158837843591,0.5102040816326531,243,0.17412279940780956,1.1449145314972555,115,2.456838218288109,0.0016477865406954728,0.5,1.914245407136191,2.546465620300028,600,85
