parent_id,parent_time,parent_i,signal_time,signal_i,event_time,event_i,impulse_dir,split,child_rule,event_open,event_high,event_low,event_close,child_range,parent_exit_i,router_conf,p_rev,p_cont,source_row,entry,filled,fill_time,fill_i,outcome,gross_R,cost_R,signal_net_R,stop_frac,exit_time,episode_7d,prior_virtual_fills,vf1_mature,real_fill,real_R
0,2021-01-20 19:45:00+00:00,1903,2021-01-20 21:45:00+00:00,1911,2021-01-20 19:45:00+00:00,1911,-1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,34752.84,34950.49,34751.11,34892.89,199.37999999999738,1999,0.32540234353074626,0.32540234353074626,0.1321862974266721,0,34793.2,True,2021-01-20 22:00:00+00:00,1912.0,TP,1.5,0.08725348580599973,1.4127465141940003,0.005730430084039335,2021-01-20 22:15:00+00:00,1,0,False,False,0.0
1,2021-02-12 03:45:00+00:00,4042,2021-02-12 04:15:00+00:00,4044,2021-02-12 03:45:00+00:00,4044,1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,47373.6,47373.97,46888.0,47270.78,485.97000000000116,4138,0.32448666175955265,0.32448666175955265,0.14976626135990373,1,47513.765,False,,,NO_FILL,0.0,0.0,0.0,0.01022798340649286,,2,0,False,False,0.0
2,2021-02-14 07:45:00+00:00,4250,2021-02-14 08:30:00+00:00,4253,2021-02-14 07:45:00+00:00,4253,1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,48792.52,48829.4,48600.4,48603.35,229.0,4346,0.31680329410935854,0.31680329410935854,0.15012123363911625,2,48717.85,True,2021-02-14 09:00:00+00:00,4255.0,SL,-1.0,0.10637085152838428,-1.1063708515283843,0.004700535840559466,2021-02-14 09:30:00+00:00,2,0,False,False,0.0
3,2021-02-16 07:45:00+00:00,4442,2021-02-16 09:15:00+00:00,4448,2021-02-16 07:45:00+00:00,4448,1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,49085.04,49129.43,48900.0,49016.52,229.4300000000003,4538,0.3419328459211026,0.3419328459211026,0.1484178964319452,3,49131.235,True,2021-02-16 09:45:00+00:00,4450.0,TP,1.5,0.10707238591291449,1.3929276140870854,0.004669738100416166,2021-02-16 10:30:00+00:00,2,1,True,True,1.3929276140870854
4,2021-02-28 07:45:00+00:00,5594,2021-02-28 08:00:00+00:00,5595,2021-02-28 07:45:00+00:00,5595,-1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,44400.83,44899.95,44375.02,44686.68,524.9300000000003,5690,0.4376914264670364,0.4376914264670364,0.1831005441394923,4,44424.215,False,,,NO_FILL,0.0,0.0,0.0,0.011816303338168167,,3,0,False,False,0.0
5,2021-02-28 19:45:00+00:00,5642,2021-02-28 21:00:00+00:00,5647,2021-02-28 19:45:00+00:00,5647,-1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,44866.37,45380.21,44860.78,45180.17,519.4300000000003,5738,0.32556741898410024,0.32556741898410024,0.21823937529876042,5,44920.455,True,2021-02-28 21:15:00+00:00,5648.0,TP,1.5,0.04324014304141075,1.4567598569585893,0.011563329000118104,2021-02-28 23:00:00+00:00,3,0,False,False,0.0
6,2021-03-09 07:45:00+00:00,6452,2021-03-09 10:30:00+00:00,6463,2021-03-09 07:45:00+00:00,6463,1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,54148.43,54150.0,53875.0,54036.01,275.0,6548,0.3221194084086891,0.3221194084086891,0.14415392988244524,6,54173.51,True,2021-03-09 10:45:00+00:00,6464.0,TP,1.5,0.09849729090909091,1.4015027090909091,0.005076281747296787,2021-03-09 12:30:00+00:00,4,0,False,False,0.0
7,2021-03-10 03:45:00+00:00,6532,2021-03-10 10:00:00+00:00,6557,2021-03-10 03:45:00+00:00,6557,1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,55228.0,55389.0,54918.91,54966.53,470.0899999999965,6628,0.34813528485611417,0.34813528485611417,0.18796446242975934,7,55201.575,False,,,NO_FILL,0.0,0.0,0.0,0.008515880208128056,,4,1,True,False,0.0
8,2021-03-23 07:45:00+00:00,7796,2021-03-23 08:45:00+00:00,7800,2021-03-23 07:45:00+00:00,7800,-1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,54278.85,54482.81,54273.11,54309.24,209.6999999999971,7892,0.406214499327815,0.406214499327815,0.23228647404708747,8,54204.39,False,,,NO_FILL,0.0,0.0,0.0,0.0038686903403948847,,5,0,False,False,0.0
9,2021-03-25 03:45:00+00:00,7972,2021-03-25 04:00:00+00:00,7973,2021-03-25 03:45:00+00:00,7973,-1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,52131.51,52391.36,51905.58,52350.01,485.77999999999884,8068,0.4323304786315055,0.4323304786315055,0.1533294432245425,9,52107.12,False,,,NO_FILL,0.0,0.0,0.0,0.009322718277271875,,5,0,False,False,0.0
10,2021-04-07 19:45:00+00:00,9284,2021-04-07 20:45:00+00:00,9288,2021-04-07 19:45:00+00:00,9288,-1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,56107.43,56250.0,55984.77,56249.99,265.2300000000032,9380,0.3288254361784632,0.3288254361784632,0.17367191096037077,10,56117.375,True,2021-04-07 21:00:00+00:00,9289.0,TP,1.5,0.10579002186781157,1.3942099781321884,0.004726343668070775,2021-04-07 22:30:00+00:00,6,0,False,False,0.0
11,2021-04-25 23:45:00+00:00,11000,2021-04-26 00:00:00+00:00,11001,2021-04-25 23:45:00+00:00,11001,-1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,49066.76,49999.99,48753.44,49922.69,1246.5499999999956,11096,0.3809589823134167,0.3809589823134167,0.214610577998808,11,49299.41500000001,False,,,NO_FILL,0.0,0.0,0.0,0.025285289896441885,,7,0,False,False,0.0
12,2021-04-30 19:45:00+00:00,11464,2021-04-30 20:15:00+00:00,11466,2021-04-30 19:45:00+00:00,11466,1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,56864.98,57000.0,56667.05,56798.69,332.9499999999971,11560,0.32303934850208077,0.32303934850208077,0.10223298341347596,12,56965.165,True,2021-04-30 20:30:00+00:00,11467.0,SL,-1.0,0.08554612554437678,-1.0855461255443768,0.005844800063336902,2021-04-30 22:30:00+00:00,7,0,False,False,0.0
