parent_id,parent_time,parent_i,signal_time,signal_i,event_time,event_i,impulse_dir,split,child_rule,event_open,event_high,event_low,event_close,child_range,parent_exit_i,router_conf,p_rev,p_cont,source_row,entry,filled,fill_time,fill_i,outcome,gross_R,cost_R,signal_net_R,stop_frac,exit_time,episode_7d,prior_virtual_fills,vf1_mature,real_fill,real_R
0,2021-01-20 19:45:00+00:00,1903,2021-01-20 21:45:00+00:00,1911,2021-01-20 19:45:00+00:00,1911,-1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,34752.84,34950.49,34751.11,34892.89,199.37999999999738,1999,0.32540234353074765,0.32540234353074765,0.13218629742667198,0,34793.2,True,2021-01-20 22:00:00+00:00,1912.0,TP,1.5,0.08725348580599973,1.4127465141940003,0.005730430084039335,2021-01-20 22:15:00+00:00,1,0,False,False,0.0
1,2021-01-22 03:45:00+00:00,2031,2021-01-22 04:00:00+00:00,2032,2021-01-22 03:45:00+00:00,2032,-1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,30943.4,31414.0,30837.37,31388.05,576.630000000001,2127,0.3981721104174935,0.3981721104174935,0.24295578518910324,1,31099.735,True,2021-01-22 04:15:00+00:00,2033.0,TP,1.5,0.026966802802490288,1.4730331971975097,0.018541315544971716,2021-01-22 06:15:00+00:00,1,1,True,True,1.4730331971975097
2,2021-02-12 03:45:00+00:00,4042,2021-02-12 04:15:00+00:00,4044,2021-02-12 03:45:00+00:00,4044,1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,47373.6,47373.97,46888.0,47270.78,485.97000000000116,4138,0.32448666175955365,0.32448666175955365,0.14976626135994622,2,47513.765,False,,,NO_FILL,0.0,0.0,0.0,0.01022798340649286,,2,0,False,False,0.0
3,2021-02-14 07:45:00+00:00,4250,2021-02-14 08:30:00+00:00,4253,2021-02-14 07:45:00+00:00,4253,1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,48792.52,48829.4,48600.4,48603.35,229.0,4346,0.3168032941093595,0.3168032941093595,0.150121233639152,3,48717.85,True,2021-02-14 09:00:00+00:00,4255.0,SL,-1.0,0.10637085152838428,-1.1063708515283843,0.004700535840559466,2021-02-14 09:30:00+00:00,2,0,False,False,0.0
4,2021-02-16 07:45:00+00:00,4442,2021-02-16 09:15:00+00:00,4448,2021-02-16 07:45:00+00:00,4448,1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,49085.04,49129.43,48900.0,49016.52,229.4300000000003,4538,0.34193284592110357,0.34193284592110357,0.14841789643199366,4,49131.235,True,2021-02-16 09:45:00+00:00,4450.0,TP,1.5,0.10707238591291449,1.3929276140870854,0.004669738100416166,2021-02-16 10:30:00+00:00,2,1,True,True,1.3929276140870854
5,2021-02-26 07:45:00+00:00,5402,2021-02-26 08:00:00+00:00,5403,2021-02-26 07:45:00+00:00,5403,-1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,44986.99,45528.62,44939.19,45434.57,589.4300000000003,5498,0.43561956410117203,0.43561956410117203,0.22606892360338632,5,45139.854999999996,True,2021-02-26 08:15:00+00:00,5404.0,TP,1.5,0.03829110751064586,1.4617088924893542,0.013057862060035424,2021-02-26 09:00:00+00:00,3,0,False,False,0.0
6,2021-02-28 07:45:00+00:00,5594,2021-02-28 08:00:00+00:00,5595,2021-02-28 07:45:00+00:00,5595,-1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,44400.83,44899.95,44375.02,44686.68,524.9300000000003,5690,0.4376914264670378,0.4376914264670378,0.18310054413950433,6,44424.215,False,,,NO_FILL,0.0,0.0,0.0,0.011816303338168167,,3,1,True,False,0.0
7,2021-02-28 19:45:00+00:00,5642,2021-02-28 21:00:00+00:00,5647,2021-02-28 19:45:00+00:00,5647,-1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,44866.37,45380.21,44860.78,45180.17,519.4300000000003,5738,0.3255674189841013,0.3255674189841013,0.21823937529875123,7,44920.455,True,2021-02-28 21:15:00+00:00,5648.0,TP,1.5,0.04324014304141075,1.4567598569585893,0.011563329000118104,2021-02-28 23:00:00+00:00,3,1,True,True,1.4567598569585893
8,2021-03-09 07:45:00+00:00,6452,2021-03-09 10:30:00+00:00,6463,2021-03-09 07:45:00+00:00,6463,1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,54148.43,54150.0,53875.0,54036.01,275.0,6548,0.3221194084086901,0.3221194084086901,0.14415392988249587,8,54173.51,True,2021-03-09 10:45:00+00:00,6464.0,TP,1.5,0.09849729090909091,1.4015027090909091,0.005076281747296787,2021-03-09 12:30:00+00:00,4,0,False,False,0.0
9,2021-03-10 03:45:00+00:00,6532,2021-03-10 10:00:00+00:00,6557,2021-03-10 03:45:00+00:00,6557,1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,55228.0,55389.0,54918.91,54966.53,470.0899999999965,6628,0.3481352848561148,0.3481352848561148,0.1879644624297874,9,55201.575,False,,,NO_FILL,0.0,0.0,0.0,0.008515880208128056,,4,1,True,False,0.0
