sample,n,origin_reclaim_n,origin_reclaim_rate,full_reaccept_n,full_reaccept_rate,reaccept_resid,reaccept_t,reaccept_pf,no_reaccept_resid,residual_gap,median_reclaim_h,median_reaccept_h,median_extra_bad,reentry_net,long_reaccept,short_reaccept
2021,234,186,0.7948717948717948,154,0.6581196581196581,-0.0364476524351314,-0.1353070775835394,0.9698555069222863,-2.6760895113215386,2.639641858886407,1.0,1.5,4.0,-0.12247257017827741,68,86
2022,189,145,0.7671957671957672,109,0.5767195767195767,0.43491445746132223,1.3465407443943094,1.4636785196267292,-2.8065253151970255,3.2414397726583477,1.0,1.75,4.0,0.2979847466331755,52,57
2023,193,153,0.7927461139896373,125,0.6476683937823834,0.5538545387686076,0.9421169428136342,1.3336690921280554,-2.143148780733538,2.6970033195021452,0.75,1.75,4.0,0.342756126950578,62,63
2024,188,142,0.7553191489361702,122,0.648936170212766,0.24789315002989612,0.627054079302942,1.1751658329421761,-3.146221150676819,3.394114300706715,0.75,1.5,4.0,0.09459985814164658,52,70
2025_H1,94,70,0.7446808510638298,59,0.6276595744680851,0.3216081528096633,0.6226802562465779,1.2624824757463855,-3.6032220133049075,3.924830166114571,0.625,1.75,3.0,0.14147801213666863,32,27
2025_H2,103,77,0.7475728155339806,66,0.6407766990291263,-0.276075238101026,-0.5442889111586051,0.8350190406843153,-2.737797366232658,2.461722128131632,0.75,1.625,5.0,-0.4991508156204961,26,40
2026_JAN_JUL,96,77,0.8020833333333334,66,0.6875,0.6917660099530896,1.007800238384199,1.4745268389062949,-2.163345839144801,2.8551118490978906,0.75,1.75,3.0,0.5155999701032297,33,33
AUG2026_REUSED_AUDIT,4,3,0.75,2,0.5,-8.007950191060472,-1.6713224728414187,0.0,-2.1170142598988213,-5.89093593116165,5.25,3.375,10.5,-8.508324948701803,2,0
HIST,898,696,0.7750556792873051,569,0.6336302895322939,0.2816210897254259,1.4902223293790915,1.21628972056098,-2.7905977800051898,3.072218869730616,0.75,1.75,4.0,0.1341871051910861,266,303
RECENT,199,154,0.7738693467336684,132,0.6633165829145728,0.20784538592603172,0.4865208628386528,1.1327585878003164,-2.480580264551528,2.68842565047756,0.75,1.75,3.5,0.008224577241366748,59,73
ALL_PRE_AUG,1097,850,0.7748404740200547,701,0.6390154968094804,0.267728945786025,1.5469065307266487,1.1980713941681533,-2.7381453215824747,3.0058742673684997,0.75,1.75,4.0,0.11046805570554695,325,376
