split,state_feature,state,horizon,n,cont_win_rate,cont_mean,cont_ci_lo,cont_ci_hi,cont_median,rev_mean
DEV_2021_2024,paxg_state,ALIGNED,15m,648,0.44907407407407407,4.8724731755348864e-05,-0.00044053848367197636,0.0005833529174352327,-0.0005717035046520769,-4.8724731755348864e-05
DEV_2021_2024,paxg_state,INVERSE,15m,160,0.5,0.0003118782055088115,-0.0008683872195330684,0.0015379909788700856,-0.00016862663946604073,-0.0003118782055088115
DEV_2021_2024,paxg_state,NEUTRAL,15m,347,0.4322766570605187,0.0003038977348561791,-0.0004501465615196895,0.0011874318180304221,-0.0006351998221791888,-0.0003038977348561791
DEV_2021_2024,paxg_state,ALL,15m,1155,0.4510822510822511,0.00016184125805538533,-0.00024892504813311473,0.0005639589830354908,-0.0005565128719229318,-0.00016184125805538533
BRIDGE_2025,paxg_state,ALIGNED,15m,125,0.432,-0.00012936288053049072,-0.0011053266874544141,0.0008998389918681859,-0.0006197523500111046,0.00012936288053049072
BRIDGE_2025,paxg_state,INVERSE,15m,62,0.5161290322580645,0.00026609385756975844,-0.0010921633470290155,0.0015503842792522235,0.0003994309888932235,-0.00026609385756975844
BRIDGE_2025,paxg_state,NEUTRAL,15m,114,0.5087719298245614,-0.0001689133206149299,-0.0012045413902347813,0.0008263737703778144,0.00013251648039874775,0.0001689133206149299
BRIDGE_2025,paxg_state,ALL,15m,301,0.47840531561461797,-6.28859117843466e-05,-0.0006842359693029654,0.0005380838354627664,-0.00027948494507756827,6.28859117843466e-05
OOS_2026,paxg_state,ALIGNED,15m,104,0.40384615384615385,-0.00011898552941968318,-0.0012469192585112233,0.0012142821940612613,-0.0009250006485489459,0.00011898552941968318
OOS_2026,paxg_state,INVERSE,15m,21,0.38095238095238093,-4.694656293949141e-05,-0.002480649294338334,0.002958059073480334,-0.0019359033933541436,4.694656293949141e-05
OOS_2026,paxg_state,NEUTRAL,15m,51,0.45098039215686275,5.458940950164859e-05,-0.0014540301527478773,0.0018216326344700643,-0.0010337397848169116,-5.458940950164859e-05
OOS_2026,paxg_state,ALL,15m,176,0.4147727272727273,-6.009268748177439e-05,-0.0009681401352446099,0.0008501032137294371,-0.0010270048184923275,6.009268748177439e-05
DEV_2021_2024,paxg_state,ALIGNED,1h,648,0.4845679012345679,0.0008192014340008283,-8.922728164995481e-05,0.0016807279438392226,-0.00021621626729551036,-0.0008192014340008283
DEV_2021_2024,paxg_state,INVERSE,1h,160,0.41875,-0.0016418805467899027,-0.0037666958886771696,0.0007278238586074857,-0.0015575828895336707,0.0016418805467899027
DEV_2021_2024,paxg_state,NEUTRAL,1h,347,0.4207492795389049,6.74464758249729e-05,-0.0013781486624425078,0.0015238566753796718,-0.0011961546497019082,-6.74464758249729e-05
DEV_2021_2024,paxg_state,ALL,1h,1155,0.4562770562770563,0.00025242040593715834,-0.0004817934988755438,0.000937946553050271,-0.0006902455465702673,-0.00025242040593715834
BRIDGE_2025,paxg_state,ALIGNED,1h,125,0.488,-0.00017310366434001169,-0.0018565290562274272,0.0014694553178365476,-0.00023037743035136948,0.00017310366434001169
BRIDGE_2025,paxg_state,INVERSE,1h,62,0.5,0.0019545955065643403,-0.0006007173002354366,0.004576310764651486,0.00013810209854414612,-0.0019545955065643403
BRIDGE_2025,paxg_state,NEUTRAL,1h,114,0.5614035087719298,9.389133040080802e-05,-0.0012736812862976384,0.001306267672274007,0.0005258799497803723,-9.389133040080802e-05
BRIDGE_2025,paxg_state,ALL,1h,301,0.5182724252491694,0.0003662809801667102,-0.0006743826590082713,0.0013359201219484728,0.0002222546559245142,-0.0003662809801667102
OOS_2026,paxg_state,ALIGNED,1h,104,0.34615384615384615,-0.0017633517949473736,-0.003216492241627731,-0.00029292976170537254,-0.001663309915381883,0.0017633517949473736
OOS_2026,paxg_state,INVERSE,1h,21,0.47619047619047616,0.0008160924134411342,-0.0028613897532093146,0.005002032147958232,-6.588389727291144e-05,-0.0008160924134411342
OOS_2026,paxg_state,NEUTRAL,1h,51,0.47058823529411764,-0.0012458277933392863,-0.003591372017085745,0.0009014068422274949,-0.00030999189853120335,0.0012458277933392863
OOS_2026,paxg_state,ALL,1h,176,0.3977272727272727,-0.0013056128605259468,-0.0024883311875512713,-6.067963197743158e-05,-0.0013592658170510363,0.0013056128605259468
DEV_2021_2024,paxg_state,ALIGNED,4h,648,0.4984567901234568,0.0005965837259328234,-0.0008528227615492966,0.0020348120044519436,-4.58990974270268e-05,-0.0005965837259328234
DEV_2021_2024,paxg_state,INVERSE,4h,160,0.4,-0.0026429694468108355,-0.00616508868878533,0.001222335326071212,-0.004071566610653998,0.0026429694468108355
DEV_2021_2024,paxg_state,NEUTRAL,4h,347,0.47262247838616717,-0.000672539095856898,-0.0028154001148730863,0.00169112165214744,-0.000735892117602166,0.000672539095856898
DEV_2021_2024,paxg_state,ALL,4h,1155,0.47705627705627707,-0.00023347179510615384,-0.0014650729102927413,0.0008790912767642837,-0.0006149223199379827,0.00023347179510615384
BRIDGE_2025,paxg_state,ALIGNED,4h,125,0.536,0.0009792882947228484,-0.001476642116215326,0.003631754455390497,0.0008157443526473074,-0.0009792882947228484
