split,horizon,model,n,auc,brier,logloss
DEV_2021_2024,1h,BTC_ONLY,1155,0.5643378576004061,0.24482037193215828,0.6826562866269412
DEV_2021_2024,1h,BTC_PLUS_PAXG,1155,0.596484124777916,0.2403321863834817,0.6734996701145415
BRIDGE_2025,1h,BTC_ONLY,301,0.48160919540229885,0.25871515104185744,0.7110838648504629
BRIDGE_2025,1h,BTC_PLUS_PAXG,301,0.4852785145888594,0.26678061219964627,0.7288954241634789
OOS_2026,1h,BTC_ONLY,203,0.5554221688675469,0.2414968493950674,0.6758771303201145
OOS_2026,1h,BTC_PLUS_PAXG,203,0.5495198079231692,0.24805497566797752,0.6903994476647016
DEV_2021_2024,4h,BTC_ONLY,1155,0.5572198651458515,0.24696349345242707,0.687018166039191
DEV_2021_2024,4h,BTC_PLUS_PAXG,1155,0.5878414922897561,0.24386156994938776,0.6806859910579935
BRIDGE_2025,4h,BTC_ONLY,301,0.47819148936170214,0.2576883676855407,0.7087801620950697
BRIDGE_2025,4h,BTC_PLUS_PAXG,301,0.5030141843971632,0.2595533491918684,0.7150858875761474
OOS_2026,4h,BTC_ONLY,203,0.4954768928220256,0.25067151577419056,0.6947362650529394
OOS_2026,4h,BTC_PLUS_PAXG,203,0.49665683382497544,0.25331017571303577,0.7002346863862444
DEV_2021_2024,24h,BTC_ONLY,1155,0.5528456750066094,0.24705616317708418,0.6872064073408464
DEV_2021_2024,24h,BTC_PLUS_PAXG,1155,0.5731187059869733,0.24519438910399408,0.6833579154262782
BRIDGE_2025,24h,BTC_ONLY,301,0.5190745319675025,0.2526459405164929,0.6986033532110671
BRIDGE_2025,24h,BTC_PLUS_PAXG,301,0.522165312610385,0.25297440628938395,0.6993356446020064
OOS_2026,24h,BTC_ONLY,203,0.5089791138005075,0.2562017087801661,0.705805691180301
OOS_2026,24h,BTC_PLUS_PAXG,203,0.5258637517079835,0.25541906998180913,0.7043132161891191
